T+00:00:42.899 | CAMERA | Image captured: 1024x768, 18935 bytes
T+00:00:43.953 | CAMERA | Image captured: 1024x768, 19292 bytes
T+00:00:45.132 | CAMERA | Image captured: 1024x768, 18606 bytes
T+00:00:47.204 | CAMERA | Image captured: 1024x768, 21264 bytes
T+00:00:50.275 | CAMERA | Image captured: 1024x768, 21859 bytes
T+00:00:51.487 | CAMERA | Image captured: 1024x768, 20683 bytes
T+00:00:53.567 | CAMERA | Image captured: 1024x768, 22917 bytes
T+00:00:55.714 | CAMERA | Image captured: 1024x768, 22153 bytes
T+00:00:56.776 | CAMERA | Image captured: 1024x768, 22897 bytes
T+00:00:59.838 | CAMERA | Image captured: 1024x768, 24288 bytes
T+00:01:01.395 | CAMERA | Image captured: 1024x768, 24260 bytes
T+00:01:07.458 | CAMERA | Image captured: 1024x768, 24969 bytes
T+00:01:24.074 | CAMERA | Image captured: 1024x768, 26062 bytes
T+00:01:50.285 | CAMERA | Image captured: 1024x768, 26366 bytes
T+00:02:08.377 | CAMERA | Image captured: 1024x768, 26326 bytes
T+00:02:59.078 | CAMERA | Image captured: 1024x768, 26469 bytes
T+00:03:00.152 | CAMERA | Image captured: 1024x768, 28290 bytes
T+00:03:01.730 | CAMERA | Image captured: 1024x768, 24103 bytes
T+00:03:02.840 | CAMERA | Image captured: 1024x768, 22800 bytes
T+00:03:03.915 | CAMERA | Image captured: 1024x768, 21734 bytes
T+00:03:04.981 | CAMERA | Image captured: 1024x768, 21336 bytes
T+00:03:06.041 | CAMERA | Image captured: 1024x768, 23936 bytes
T+00:03:08.592 | CAMERA | Image captured: 1024x768, 24504 bytes
T+00:03:09.682 | CAMERA | Image captured: 1024x768, 24978 bytes
T+00:03:10.740 | CAMERA | Image captured: 1024x768, 24747 bytes
T+00:03:11.845 | CAMERA | Image captured: 1024x768, 25473 bytes
